_firestoreId,_type,id,name,category,stock,room,shelf,manufacturer,modelNumber,partNumber,barcode,productCategory,isDiscontinued,minStock,guideUrl,isFaulty,price,description,brochureUrl,weaveFileUrl,weaveConfigured,updatedAt,weaveTemplateId,imageUrl,warrantyEndDate,purchaseDate
X5jxmirQGYhcgOTTuynt,Product,5849,CS-3100T,Stok Malzemesi,1,Depo,A1,Brigade Electronics,CS-3100T,5849,5849,,,,,,,,,,,,,,,
XIw8BXGdUhqT67uInE6t,Product,3719,UDS-2.5SC,Stok Malzemesi,2,Depo,A1,Brigade Electronics,UDS-2.5SC,3719,3719,,,,,,,,,,,,,,,
XVK4c0kRDYg8a7MjnAJN,Product,5288,UDS-CBL002,Stok Malzemesi,1,Depo,A1,Brigade Electronics,UDS-CBL002,5288,5288,,,,,,,,,,,,,,,
XZ4r16zQdKAxRtjqMMHc,Product,5802,,,,,,,,,,Sistem,,,,,,,,,,,,,,
YqXvhbu5XeVKASE2YpnQ,Product,4267,,,,,,,,,,Kablo,,,,,,,,,,,,,,
ZHpRtBt206T9Ab9GxjIq,Product,5266,BS-9000,Stok Malzemesi,1,Depo,A1,Brigade Electronics,BS-9000,5266,5266,,,,,,,,,,,,,,,
ZaqYTiaVaIwACE6qJHdc,Product,A1499,VBV-L405,Stok Malzemesi,8,Depo,A1,Brigade Electronics,VBV-L405,A1499,A1499,,true,,,,,,,,,,,,,
Zgc1zasGqWW2PY9Sl5TS,Product,5813,BN360-H3025,Stok Malzemesi,5,Depo,A1,Brigade Electronics,BN360-H3025,5813,5813,,,,,,,,,,,,,,,
ZmLpgZBFl4eWfzPRrhfX,Product,7321,,,,,,,,,,Kamera,,,,,,,,,,,,,,
a2HySnWTeRnWr9Tkgd98,Product,F3154,,,,,,,,,,Kablo,,,,,,,,,,,,,,
a3QqhyMAvUcH116B0JJE,Product,3749,UDS-001DP,Stok Malzemesi,1,Depo,A1,Brigade Electronics,UDS-001DP,3749,3749,,,,,,,,,,,,,,,
a40VeaV95nIqCCAaoTCL,Product,6291,DC-102_UK_32GB_HG,Stok Malzemesi,5,Depo,A1,Brigade Electronics,DC-102_UK_32GB_HG,6291,6291,,,,,,,,,,,,,,,
a6p05c39cxxOGbogpedZ,Product,4485,,,,,,,,,,Sistem,,,,,,,,,,,,,,
aMLkatHBBwsDRZg0xauT,Product,5803,,,,,,,,,,Sistem,,,,,,,,,,,,,,
b4xoZCzvT10ZtB0QM9QJ,Product,5849,CS-3100T,Stok Malzemesi,1,Depo,A1,Brigade Electronics,CS-3100T,5849,5849,,,,,,,,,,,,,,,
bKS7lda9WZIbPidWJKi2,Product,4569A,,,,,,,,,,Diğer,,,,,,,,,,,,,,
bqfSqcCdbUfoEv215gKj,Product,5812,,,,,,,,,,Sistem,,,,,,,,,,,,,,
bsayyrKPf0alZ1H5FcHO,Product,5266,,,,,,,,,,Sensor,,,,,,,,,,,,,,
